name,date,pct_of_all_candidate_clips,matched_clips,total_clips
John Delaney,12/30/18,0.003943218,5,76029
John Delaney,1/6/19,0.001958864,2,82964
John Delaney,1/13/19,0.008156607,5,82521
John Delaney,1/20/19,0.002018163,2,83649
John Delaney,1/27/19,0.001572327,3,80994
John Delaney,2/3/19,0.000690131,1,79183
John Delaney,2/10/19,0.004181913,8,81893
John Delaney,2/17/19,0.002483444,6,82454
John Delaney,2/24/19,0.001962067,3,82804
John Delaney,3/3/19,0.01212508,19,81321
John Delaney,3/10/19,0.011166253,27,85812
John Delaney,3/17/19,0.008194138,26,95383
John Delaney,3/24/19,0.011263073,14,96184
John Delaney,3/31/19,0.00451843,19,93472
John Delaney,4/7/19,0.003005582,7,94405
John Delaney,4/14/19,0.003464203,9,95286
John Delaney,4/21/19,0.00209937,12,94002
John Delaney,4/28/19,0.004058853,16,95339
John Delaney,5/5/19,0.001456134,4,94528
John Delaney,5/12/19,0.000542299,2,94318
John Delaney,5/19/19,0.004916793,13,94883
Andrew Yang,12/30/18,0,0,76029
Andrew Yang,1/6/19,0,0,82964
Andrew Yang,1/13/19,0,0,82521
Andrew Yang,1/20/19,0.001009082,1,83649
Andrew Yang,1/27/19,0.001572327,3,80994
Andrew Yang,2/3/19,0,0,79183
Andrew Yang,2/10/19,0.001568217,3,81893
Andrew Yang,2/17/19,0.002483444,6,82454
Andrew Yang,2/24/19,0.001962067,3,82804
Andrew Yang,3/3/19,0.00319081,5,81321
Andrew Yang,3/10/19,0.00082713,2,85812
Andrew Yang,3/17/19,0.004097069,13,95383
Andrew Yang,3/24/19,0.003218021,4,96184
Andrew Yang,3/31/19,0.007609988,32,93472
Andrew Yang,4/7/19,0.009016745,21,94405
Andrew Yang,4/14/19,0.015011547,39,95286
Andrew Yang,4/21/19,0.003149055,18,94002
Andrew Yang,4/28/19,0.002536783,10,95339
Andrew Yang,5/5/19,0.00728067,20,94528
Andrew Yang,5/12/19,0.002982646,11,94318
Andrew Yang,5/19/19,0.004916793,13,94883
Beto O'Rourke,12/30/18,0.079652997,101,76029
Beto O'Rourke,1/6/19,0.124387855,127,82964
Beto O'Rourke,1/13/19,0.127243067,78,82521
Beto O'Rourke,1/20/19,0.027245207,27,83649
Beto O'Rourke,1/27/19,0.014675052,28,80994
Beto O'Rourke,2/3/19,0.056590752,82,79183
Beto O'Rourke,2/10/19,0.218504966,418,81893
Beto O'Rourke,2/17/19,0.042218543,102,82454
Beto O'Rourke,2/24/19,0.051013734,78,82804
Beto O'Rourke,3/3/19,0.048500319,76,81321
Beto O'Rourke,3/10/19,0.359801489,870,85812
Beto O'Rourke,3/17/19,0.274188465,870,95383
Beto O'Rourke,3/24/19,0.205148833,255,96184
Beto O'Rourke,3/31/19,0.071343639,300,93472
Beto O'Rourke,4/7/19,0.058394161,136,94405
Beto O'Rourke,4/14/19,0.06274057,163,95286
Beto O'Rourke,4/21/19,0.027116865,155,94002
Beto O'Rourke,4/28/19,0.056062912,221,95339
Beto O'Rourke,5/5/19,0.032763014,90,94528
Beto O'Rourke,5/12/19,0.058839479,217,94318
Beto O'Rourke,5/19/19,0.070726172,187,94883
John Hickenlooper,12/30/18,0.000788644,1,76029
John Hickenlooper,1/6/19,0.000979432,1,82964
John Hickenlooper,1/13/19,0,0,82521
John Hickenlooper,1/20/19,0.003027245,3,83649
John Hickenlooper,1/27/19,0.001572327,3,80994
John Hickenlooper,2/3/19,0.001380262,2,79183
John Hickenlooper,2/10/19,0,0,81893
John Hickenlooper,2/17/19,0.001241722,3,82454
John Hickenlooper,2/24/19,0.002616089,4,82804
John Hickenlooper,3/3/19,0.057434588,90,81321
John Hickenlooper,3/10/19,0.006203474,15,85812
John Hickenlooper,3/17/19,0.032146234,102,95383
John Hickenlooper,3/24/19,0.017699115,22,96184
John Hickenlooper,3/31/19,0.004042806,17,93472
John Hickenlooper,4/7/19,0.004723057,11,94405
John Hickenlooper,4/14/19,0.00269438,7,95286
John Hickenlooper,4/21/19,0.000174948,1,94002
John Hickenlooper,4/28/19,0.005327245,21,95339
John Hickenlooper,5/5/19,0.004368402,12,94528
John Hickenlooper,5/12/19,0.003524946,13,94318
John Hickenlooper,5/19/19,0.003403933,9,94883
Jay Inslee,12/30/18,0.003154574,4,76029
Jay Inslee,1/6/19,0.006856024,7,82964
Jay Inslee,1/13/19,0,0,82521
Jay Inslee,1/20/19,0.007063572,7,83649
Jay Inslee,1/27/19,0.001048218,2,80994
Jay Inslee,2/3/19,0.004140787,6,79183
Jay Inslee,2/10/19,0.000522739,1,81893
Jay Inslee,2/17/19,0.000827815,2,82454
Jay Inslee,2/24/19,0.045127534,69,82804
Jay Inslee,3/3/19,0.038289726,60,81321
Jay Inslee,3/10/19,0.024400331,59,85812
Jay Inslee,3/17/19,0.004412228,14,95383
Jay Inslee,3/24/19,0.004827031,6,96184
Jay Inslee,3/31/19,0.001426873,6,93472
Jay Inslee,4/7/19,0.019750966,46,94405
Jay Inslee,4/14/19,0.003464203,9,95286
Jay Inslee,4/21/19,0.001574528,9,94002
Jay Inslee,4/28/19,0.008878742,35,95339
Jay Inslee,5/5/19,0.003640335,10,94528
Jay Inslee,5/12/19,0.005694143,21,94318
Jay Inslee,5/19/19,0.006429652,17,94883
Bernie Sanders,12/30/18,0.194006309,246,76029
Bernie Sanders,1/6/19,0.131243879,134,82964
Bernie Sanders,1/13/19,0.114192496,70,82521
Bernie Sanders,1/20/19,0.148335015,147,83649
Bernie Sanders,1/27/19,0.076519916,146,80994
Bernie Sanders,2/3/19,0.111801242,162,79183
Bernie Sanders,2/10/19,0.052796654,101,81893
Bernie Sanders,2/17/19,0.430049669,1039,82454
Bernie Sanders,2/24/19,0.434270765,664,82804
Bernie Sanders,3/3/19,0.332482451,521,81321
Bernie Sanders,3/10/19,0.186517783,451,85812
Bernie Sanders,3/17/19,0.147179326,467,95383
Bernie Sanders,3/24/19,0.114239743,142,96184
Bernie Sanders,3/31/19,0.131034483,551,93472
Bernie Sanders,4/7/19,0.285100902,664,94405
Bernie Sanders,4/14/19,0.373364126,970,95286
Bernie Sanders,4/21/19,0.19226732,1099,94002
Bernie Sanders,4/28/19,0.152714358,602,95339
Bernie Sanders,5/5/19,0.183108846,503,94528
Bernie Sanders,5/12/19,0.143709328,530,94318
Bernie Sanders,5/19/19,0.175869894,465,94883
Amy Klobuchar,12/30/18,0.009463722,12,76029
Amy Klobuchar,1/6/19,0.006856024,7,82964
Amy Klobuchar,1/13/19,0.073409462,45,82521
Amy Klobuchar,1/20/19,0.010090817,10,83649
Amy Klobuchar,1/27/19,0.008385744,16,80994
Amy Klobuchar,2/3/19,0.044168392,64,79183
Amy Klobuchar,2/10/19,0.200731835,384,81893
Amy Klobuchar,2/17/19,0.095612583,231,82454
Amy Klobuchar,2/24/19,0.034009156,52,82804
Amy Klobuchar,3/3/19,0.036375239,57,81321
Amy Klobuchar,3/10/19,0.028122415,68,85812
Amy Klobuchar,3/17/19,0.035928144,114,95383
Amy Klobuchar,3/24/19,0.055510861,69,96184
Amy Klobuchar,3/31/19,0.009988109,42,93472
Amy Klobuchar,4/7/19,0.02189781,51,94405
Amy Klobuchar,4/14/19,0.025019246,65,95286
Amy Klobuchar,4/21/19,0.017844647,102,94002
Amy Klobuchar,4/28/19,0.022323694,88,95339
Amy Klobuchar,5/5/19,0.047324354,130,94528
Amy Klobuchar,5/12/19,0.011659436,43,94318
